Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178
0,0,3,3,2016,Standard Bronze Off Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420036-00,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,4,0,60,1089,0,25,0,5000,0,,GAS002,HIOS,,500,49046GA0420036,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze On Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420036-01,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,5,0,60,1089,0,25,0,5000,0,,GAS002,HIOS,,500,49046GA0420036,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze Off Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420037-00,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,6,0,60,1089,0,25,0,5000,0,,GAS003,HIOS,,500,49046GA0420037,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze On Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420037-01,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,7,0,60,1089,0,25,0,5000,0,,GAS003,HIOS,,500,49046GA0420037,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze Off Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420038-00,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,8,0,60,1089,0,25,0,5000,0,,GAS004,HIOS,,500,49046GA0420038,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze On Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420038-01,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,9,0,60,1089,0,25,0,5000,0,,GAS004,HIOS,,500,49046GA0420038,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze Off Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420039-00,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,10,0,60,1089,0,25,0,5000,0,,GAS005,HIOS,,500,49046GA0420039,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze On Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420039-01,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,11,0,60,1089,0,25,0,5000,0,,GAS005,HIOS,,500,49046GA0420039,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze Off Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420040-00,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,12,0,60,1089,0,25,0,5000,0,,GAS006,HIOS,,500,49046GA0420040,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
0,0,3,3,2016,Standard Bronze On Exchange Plan,Allows Adult and Child-Only,,No,,,,,,$1000 per group,$500 per person,500,0.3,,$1000 per group,$500 per person,500,,,,,,,per group not applicable,per person not applicable,Not Applicable,,,,,,,,,,,,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management, Pregnancy, Weight Loss Programs",,,,1,GAF032,https://www.bcbsga.com/GASelectdrugtier4,49046GA042,,No,,8/25/2015 5:06,,0,,No,Existing,No,No,0.6024,49046,49046,,,,,,$30000 per group,$15000 per person,15000,0.3,,$10000 per group,$5000 per person,5000,,,,,,,$20000 per group,$10000 per person,10000,,,,,,,,,,,,,SHOP (Small Group),No,Yes,Bronze,No,NO,GAN002,YES,Urgent/Emergent Coverage Only,YES,Follows OON Coverage,http://sgplans.bcbsga.com/brochure/,1/1/2016 0:00,12/31/2016 0:00,49046GA0420040-01,,BCBSHP Bronze Pathway X Enhanced POS 5000 30  6850 Plus,POS,Both,13,0,60,1089,0,25,0,5000,0,,GAS006,HIOS,,500,49046GA0420040,GA,GA,,$41100 per group,$20550 per person,20550,,,,,,,,,,,,,,,,,,,,$13700 per group,$6850 per person,6850,,,,,,$27400 per group,$13700 per person,13700,58-1638390,,http://www.sbc.anthem.com/dps/CCD1KL2,Yes,16,Yes,,
